,Users,Articles,Language
185,13553,7877,Erzya
186,12900,7694,Kara-Kalpak
187,14335,7670,Kinyarwanda
188,25745,7610,Sardinian
189,31036,7094,Tibetan
190,16403,7081,Cornish
191,16522,6987,Veps
192,29590,6900,Turkmen
193,14420,6844,Kabyle
194,20837,6800,Manx
195,23874,6758,Maltese
196,47017,6750,Gan
197,14949,6697,Võro
198,10154,6587,Moksha
199,13969,6385,Zeelandic
200,21383,6304,Abkhazian
201,2779,6116,Saraiki
202,22917,6111,Uyghur
203,4734,5893,Inari Sami
204,17293,5793,Arpitan
205,19830,5787,Guarani
206,18597,5764,Picard
207,15702,5711,Udmurt
208,15190,5532,Komi
209,17510,5463,Kashubian
210,11565,5435,Kashmiri
211,17488,5175,Aymara
212,13845,4979,Norman
213,128866,4499,Old English
214,9923,4451,Fula
215,7439,4409,Livvi-Karelian
216,11384,4405,Lezghian
217,15088,4371,Friulian
218,13362,4319,Lingua Franca Nova
219,22941,4315,Nāhuatl
220,13823,4264,Mirandese
221,15512,4212,Papiamento
222,16360,4129,Twi
223,13888,4119,Saterland Frisian
224,13722,4057,Lingala
225,19711,3956,Lao
226,21086,3774,Romansh
227,22226,3716,Ladino
228,18189,3710,Extremaduran
229,10555,3597,Goan Konkani
230,6967,3548,Doteli
231,15628,3547,Avaric
232,9694,3544,Tuvinian
233,8996,3464,Komi-Permyak
234,19274,3418,Lower Sorbian
235,15024,3216,Chavacano
236,9101,3130,Ganda
237,25975,3117,Divehi
238,23442,2991,Colognian
239,11286,2964,Zhuang
240,16002,2831,Russia Buriat
241,1825,2824,Pa'O
242,14961,2804,Gagauz
243,12389,2763,Palatine German
244,3350,2669,Sakizaya
245,18089,2628,Hawaiian
246,781,2624,Betawi
247,8756,2572,Pangasinan
248,2030,2572,Tayal
249,7664,2557,Pali
250,2483,2513,Standard Moroccan Tamazight
251,3490,2473,Awadhi
252,6824,2365,Tulu
253,4819,2183,Ingush
254,10884,2163,Karachay-Balkar
255,13896,2101,Xhosa
256,4930,2049,Atikamekw
257,1008,2041,Fon
258,11247,2016,Tongan
259,34364,2010,Pennsylvania German
260,4061,1934,Mon
261,1703,1924,Ghanaian Pidgin
262,21497,1906,Aramaic
263,4876,1894,Tachelhit
264,11631,1866,Oromo
265,10883,1865,Tswana
266,9289,1780,Kikuyu
267,10447,1752,Kalmyk
268,2092,1728,Nias
269,9631,1716,Jamaican Creole English
270,4967,1713,Kabiye
271,15854,1701,Wolof
272,731,1668,Dagaare
273,12407,1664,Novial
274,2124,1644,Angika
275,10453,1643,Kabardian
276,4487,1519,N’Ko
277,13925,1460,Bislama
278,14563,1386,Aromanian
279,14283,1381,Tok Pisin
280,10181,1366,Tetum
281,1650,1346,Gun
282,11488,1345,Kongo
283,17436,1334,Lojban
284,9661,1298,Fijian
285,3021,1291,Madurese
286,8823,1275,Lak
287,26493,1238,Church Slavic
288,1927,1223,Nigerian Pidgin
289,7847,1222,Tahitian
290,2223,1175,Taroko
291,10962,1156,Samoan
292,1786,1160,Tyap
293,2539,1136,Amis
294,8141,1121,Sranan Tongo
295,461,1108,Batak Mandailing
296,3259,1096,Southern Altai
297,7823,1083,Latgalian
298,26818,1070,Cherokee
299,3420,1067,Guianan Creole
300,11069,1035,Nyanja
301,11119,1014,Southern Sotho
302,635,1004,Central Dusun
303,381,992,Kʋsaal
304,9146,984,Swati
305,15359,939,Ewe
306,1285,909,Frafra
307,20499,902,Gothic
308,10860,873,Tsonga
309,11519,830,Bambara
310,12356,812,Norfuk / Pitkern
311,8426,800,Venda
312,1075,789,Batak Toba
313,18247,785,Vlax Romani
314,12415,713,Cheyenne
315,10277,678,Rundi
316,1179,612,Fanti
317,9253,600,Inupiaq
318,438,599,Igala
319,1569,576,Wayuu
320,7979,559,Adyghe
321,16566,557,Chamorro
322,11050,491,Pontic
323,21930,407,Inuktitut
324,1921,358,Paiwan
325,6707,329,Dinka
326,7014,329,Sango
327,10052,320,Tigrinya
328,11241,282,Dzongkha
329,14122,243,Kalaallisut
330,257,185,West Coast Bajau
331,20352,12,Cree
